epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8233,3.15118,3.45511,4.17768,0.00321,0.74286,0.01335,0.008,2.60802,3.42445,4.12506,0.00056,0.00056,0.00056
2,34.7834,3.16288,3.33446,4.00938,0.01252,0.77143,0.06631,0.01698,2.73263,4.00208,3.70275,0.00108357,0.00108357,0.00108357
3,49.2735,3.03571,3.22554,3.71293,0.06459,0.42857,0.04684,0.01248,2.82027,5.92134,3.86907,0.00154972,0.00154972,0.00154972
4,64.9195,2.86043,3.14866,3.49131,0.13605,0.28571,0.1581,0.04944,2.88328,4.94137,4.37252,0.001703,0.001703,0.001703
5,81.2089,2.79722,3.05856,3.30876,0.12991,0.05714,0.05567,0.01614,2.88146,3.2761,4.10993,0.001604,0.001604,0.001604
6,96.7879,2.69162,3.04969,3.21607,0.01264,0.2,0.01125,0.00414,2.94412,3.59178,4.22188,0.001505,0.001505,0.001505
7,110.576,2.627,2.93947,3.11757,0.05388,0.28571,0.03147,0.01026,2.53303,3.56923,3.42429,0.001406,0.001406,0.001406
8,124.935,2.5015,2.87441,3.00597,0.23092,0.28571,0.18122,0.06582,2.25094,3.12297,2.96174,0.001307,0.001307,0.001307
9,139.809,2.37931,2.79004,2.95239,0.17327,0.11429,0.08971,0.03722,2.31936,2.86164,3.22513,0.001208,0.001208,0.001208
10,155.492,2.41753,2.69352,2.92908,0.39553,0.48571,0.39721,0.19009,2.13665,2.3886,2.84761,0.001109,0.001109,0.001109
11,173.673,2.16491,2.84849,2.83264,0.36277,0.40677,0.40927,0.15848,2.18536,2.38585,2.80278,0.00101,0.00101,0.00101
12,188.773,2.14132,2.65771,2.75358,0.35504,0.4,0.35805,0.16556,2.24739,2.3632,2.87634,0.000911,0.000911,0.000911
13,202.347,2.13324,2.60028,2.75172,0.44262,0.51429,0.43516,0.1771,2.10536,2.14891,2.69002,0.000812,0.000812,0.000812
14,215.973,2.0706,2.44438,2.66663,0.35632,0.44302,0.4285,0.15217,2.27232,2.09739,2.75535,0.000713,0.000713,0.000713
15,231.299,2.07242,2.44322,2.67444,0.51133,0.4,0.45383,0.22902,2.11229,2.084,2.66391,0.000614,0.000614,0.000614
16,246.695,2.03787,2.41306,2.59203,0.50192,0.48955,0.4741,0.23097,2.06876,2.2475,2.58857,0.000515,0.000515,0.000515
17,263.063,1.96817,2.3431,2.53796,0.57589,0.57143,0.54966,0.28185,1.89246,2.09045,2.49981,0.000416,0.000416,0.000416
18,275.599,1.96236,2.28241,2.54845,0.61431,0.45516,0.5405,0.2606,2.03695,2.08295,2.57612,0.000317,0.000317,0.000317
19,290.014,1.97373,2.25987,2.54649,0.65575,0.45714,0.54294,0.28464,1.97795,2.00238,2.49422,0.000218,0.000218,0.000218
20,306.021,1.91113,2.21563,2.49767,0.68627,0.5627,0.58954,0.30324,1.88635,1.96742,2.43947,0.000119,0.000119,0.000119
